2026-04

d, 俊峰河畔, RiverSide, 校友广场, 推广专区
1 , 1926, 1130, 137 ,
2 , 1597, 1046, 94  ,
3 , 1369, 883 , 65  , 3
4 , 793 , 500 , 46  , 1
5 , 854 , 546 , 44  ,
6 , 825 , 549 , 28  ,
7 , 1096, 837 , 56  ,
8 , 1452, 767 , 82  ,
9 , 1394, 792 , 78  ,
10, 1182, 1017, 62  ,
11, 1110, 486 , 7   ,
12, 936 , 409 , 11  , 1
13, 1257, 727 , 24  ,
14, 1100, 724 , 53  , 3
15, 1286, 1192, 50  , 3
16, 1311, 801 , 75  ,
17, 1222, 687 , 45  ,
18, 1066, 445 , 16  ,
19, 887 , 588 , 21  ,
20, 1244, 736 , 79  , 1
21, 1235, 901 , 53  ,
22, 1102, 990 , 119 ,
23, 1075, 901 , 32  , 1
24, 1011, 808 , 61  ,
25, 849 , 438 , 20  ,
26, 852 , 500 , 4   ,
